Quarter,Minute,Second,Down,ToGo,YardLine,Outcome
2,8,22,2,1,68,0
2,8,29,2,6,63,2
2,9,8,1,10,59,0
2,12,37,0,0,85,0
2,12,43,2,10,85,1
2,13,26,1,10,85,0
2,14,12,3,11,67,1
2,14,17,2,11,67,1
1,0,50,1,10,55,0
1,1,21,2,4,51,1
1,4,2,4,8,61,0
1,4,6,3,8,61,1
1,4,10,2,8,61,1
1,4,51,1,10,59,0
1,5,27,3,5,52,1
1,7,32,4,2,85,0
1,8,14,3,7,80,1
1,9,0,2,8,79,1
1,9,15,2,3,84,0
1,9,55,1,10,77,0
1,10,36,2,6,71,1
1,11,3,1,10,67,0
4,1,59,1,10,57,2
3,11,14,4,5,68,0
3,11,19,3,5,68,1
3,12,8,2,6,67,0
3,12,44,1,10,63,0
2,0,16,0,0,85,0
2,0,20,1,3,97,0
2,0,26,3,7,93,1
2,1,13,2,9,91,0
2,1,16,1,9,91,1
1,3,46,2,10,80,1
1,3,52,1,10,80,2
1,4,38,3,7,53,1
1,4,43,2,7,53,1
1,5,12,1,10,50,0
1,9,11,4,4,57,0
1,10,0,3,6,55,0
1,11,21,2,10,64,2
1,12,3,1,10,64,1
1,12,45,3,7,55,1
1,14,14,1,10,52,0
5,4,19,3,3,97,1
5,4,25,2,3,97,1
5,5,9,1,2,98,0
5,5,53,1,10,86,0
5,6,37,2,1,80,0
5,7,13,1,10,71,1
5,7,53,2,2,68,0
5,8,33,1,10,60,0
4,0,2,1,10,55,2
4,0,29,0,0,85,0
4,0,37,1,1,99,0
4,0,41,4,3,97,1
4,0,44,3,3,97,1
4,0,50,2,3,97,1
4,0,55,1,10,90,0
4,0,59,3,1,85,1
4,1,37,2,8,78,1
4,2,0,1,10,76,0
4,2,29,1,10,61,1
4,11,25,4,4,65,0
4,12,18,3,12,57,1
4,12,22,2,12,57,1
4,13,3,1,10,59,0
4,14,30,0,0,85,0
4,14,34,1,1,99,0
4,14,38,1,10,83,2
2,1,36,1,10,70,1
2,10,27,3,3,81,2
4,0,0,0,0,98,0
4,0,4,2,10,75,2
4,0,4,1,10,75,0
4,0,29,0,0,98,0
4,0,33,4,3,97,1
4,0,36,3,3,97,1
4,0,39,2,3,97,1
4,0,42,1,3,97,1
4,1,2,2,5,90,1
4,1,28,1,10,85,1
4,1,51,1,10,73,1
4,2,0,4,10,68,2
4,2,4,3,10,68,1
4,2,9,2,10,68,2
4,2,9,2,15,63,0
4,2,9,2,10,68,0
4,2,13,1,10,68,1
4,2,33,3,1,57,1
1,10,40,2,11,50,1
1,11,19,1,10,51,0
4,0,28,4,12,56,0
3,7,45,1,2,98,0
3,8,22,1,10,87,0
3,9,3,2,7,71,1
3,9,37,1,10,68,0
3,10,19,2,8,58,0
3,11,3,1,10,56,0
2,0,13,4,9,52,0
2,0,21,3,9,52,2
